Cancer Type,Sentence
Non Small Cell Lung Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND SNP_event <= 2121.0 AND Codons <= 1266.0 AND missense_variant is 0 AND Protein_position <= 895.0 AND End_Position > 63411808.0 AND Diagnosis Age > 71.5 AND TMB (nonsynonymous) > 0.30000001192092896 AND Start_Position > 112141460.0, then the class is Non Small Cell Lung Cancer."
Gastric Cancer,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 0.4166666716337204 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND SNP_event <= 2121.0 AND Codons <= 1266.0 AND missense_variant is 0 AND Diagnosis Age <= 75.5 AND End_Position > 63411808.0 AND Start_Position <= 112173996.0 AND Protein_position > 895.0, then the class is Gastric Cancer."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 0.4166666716337204 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND SNP_event <= 2121.0 AND Codons <= 1266.0 AND Start_Position > 112173996.0 AND missense_variant is 0 AND Protein_position <= 1396.0 AND Diagnosis Age <= 75.5 AND End_Position > 63411808.0, then the class is Colorectal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND SNP_event <= 2121.0 AND Codons <= 1266.0 AND missense_variant is 0 AND Protein_position <= 1396.0 AND Diagnosis Age <= 75.5 AND End_Position > 63411808.0 AND TMB (nonsynonymous) <= 0.45000000298023224 AND Start_Position <= 112174860.0, then the class is Colorectal Carcinoma."
Non Small Cell Lung Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND SNP_event <= 2121.0 AND Codons <= 1266.0 AND missense_variant is 0 AND Protein_position <= 1396.0 AND Diagnosis Age <= 75.5 AND End_Position > 63411808.0 AND TMB (nonsynonymous) <= 0.45000000298023224 AND Start_Position <= 112175180.0, then the class is Non Small Cell Lung Cancer."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND SNP_event <= 2121.0 AND Codons <= 1266.0 AND missense_variant is 0 AND Protein_position <= 1396.0 AND Diagnosis Age <= 59.0 AND End_Position > 63411808.0 AND TMB (nonsynonymous) <= 0.45000000298023224 AND Start_Position <= 112175272.0, then the class is Colorectal Carcinoma."
Esophageal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND SNP_event <= 2121.0 AND Codons <= 1266.0 AND missense_variant is 0 AND Protein_position <= 1396.0 AND End_Position > 63411808.0 AND TMB (nonsynonymous) <= 0.45000000298023224 AND Start_Position <= 112175272.0 AND Diagnosis Age > 59.0, then the class is Esophageal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND SNP_event <= 2121.0 AND Codons <= 1266.0 AND Start_Position > 112175272.0 AND missense_variant is 0 AND Protein_position <= 1396.0 AND Diagnosis Age <= 75.5 AND End_Position > 63411808.0 AND TMB (nonsynonymous) <= 0.45000000298023224, then the class is Colorectal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND SNP_event <= 2121.0 AND Codons <= 1266.0 AND Start_Position > 63411508.0 AND missense_variant is 0 AND Protein_position <= 1396.0 AND Diagnosis Age <= 75.5 AND End_Position > 63411808.0 AND TMB (nonsynonymous) > 0.45000000298023224, then the class is Colorectal Carcinoma."
Intrahepatic Cholangiocarcinoma,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 1.9833333492279053 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Diagnosis Age > 75.5 AND SNP_event <= 455.5 AND Codons <= 1266.0 AND Start_Position > 63411508.0 AND missense_variant is 0 AND Protein_position <= 1396.0, then the class is Intrahepatic Cholangiocarcinoma."
Gastric Cancer,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 1.9833333492279053 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Codons <= 1266.0 AND Start_Position > 63411508.0 AND missense_variant is 0 AND Protein_position <= 431.5 AND SNP_event > 455.5 AND Diagnosis Age <= 76.5, then the class is Gastric Cancer."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 1.9833333492279053 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Codons <= 1266.0 AND Start_Position > 63411508.0 AND missense_variant is 0 AND SNP_event > 455.5 AND Diagnosis Age <= 76.5 AND Protein_position > 431.5, then the class is Colorectal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 1.9833333492279053 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Diagnosis Age > 76.5 AND Codons <= 1266.0 AND Start_Position > 63411508.0 AND missense_variant is 0 AND Protein_position <= 1396.0 AND SNP_event > 455.5, then the class is Colorectal Carcinoma."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 1.9833333492279053 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Diagnosis Age > 28.5 AND SNP_event <= 2121.0 AND Start_Position > 63411508.0 AND missense_variant is 0 AND Protein_position <= 1396.0 AND Codons <= 1306.0, then the class is Liver Hepatocellular Carcinoma."
Gastric Cancer,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 0.11666667088866234 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Diagnosis Age > 28.5 AND SNP_event <= 648.0 AND Start_Position > 63411508.0 AND missense_variant is 0 AND Protein_position <= 1396.0 AND Codons > 1306.0, then the class is Gastric Cancer."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 0.11666667088866234 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Diagnosis Age > 28.5 AND Start_Position > 63411508.0 AND missense_variant is 0 AND Protein_position <= 1396.0 AND Codons > 1306.0 AND SNP_event > 648.0, then the class is Colorectal Carcinoma."
Pancreatic Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND SNP_event <= 48.0 AND Start_Position > 63411508.0 AND missense_variant is 0 AND Protein_position <= 1135.5 AND Codons > 1306.0 AND TMB (nonsynonymous) > 0.11666667088866234 AND End_Position <= 112174672.0 AND Diagnosis Age <= 61.5, then the class is Pancreatic Cancer."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Diagnosis Age > 61.5 AND SNP_event <= 48.0 AND Start_Position > 63411508.0 AND missense_variant is 0 AND Protein_position <= 1135.5 AND Codons > 1306.0 AND TMB (nonsynonymous) > 0.11666667088866234 AND End_Position <= 112174672.0, then the class is Colorectal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Start_Position > 63411508.0 AND missense_variant is 0 AND Protein_position <= 1097.0 AND Codons > 1306.0 AND TMB (nonsynonymous) > 0.11666667088866234 AND End_Position <= 112161108.0 AND SNP_event > 48.0 AND Diagnosis Age <= 75.0 AND Exon_Number <= 503.0, then the class is Colorectal Carcinoma."
Gastric Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Start_Position > 63411508.0 AND missense_variant is 0 AND Protein_position <= 1097.0 AND Codons > 1306.0 AND TMB (nonsynonymous) > 0.11666667088866234 AND End_Position <= 112161108.0 AND SNP_event > 48.0 AND Diagnosis Age <= 75.0 AND Exon_Number > 503.0, then the class is Gastric Cancer."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Start_Position > 63411508.0 AND missense_variant is 0 AND Protein_position <= 1097.0 AND Codons > 1306.0 AND TMB (nonsynonymous) > 0.11666667088866234 AND SNP_event > 48.0 AND Diagnosis Age <= 75.0 AND End_Position > 112161108.0, then the class is Colorectal Carcinoma."
Non Small Cell Lung Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Diagnosis Age > 75.0 AND Start_Position > 63411508.0 AND missense_variant is 0 AND Protein_position <= 1097.0 AND Codons > 1306.0 AND TMB (nonsynonymous) > 0.11666667088866234 AND End_Position <= 112174672.0 AND SNP_event > 48.0 AND Exon_Number <= 454.5, then the class is Non Small Cell Lung Cancer."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Diagnosis Age > 75.0 AND Start_Position > 63411508.0 AND missense_variant is 0 AND Protein_position <= 1097.0 AND Codons > 1306.0 AND TMB (nonsynonymous) > 0.11666667088866234 AND End_Position <= 112174672.0 AND SNP_event > 48.0 AND Exon_Number > 454.5, then the class is Colorectal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Diagnosis Age > 28.5 AND Start_Position > 63411508.0 AND missense_variant is 0 AND Codons > 1306.0 AND TMB (nonsynonymous) > 0.11666667088866234 AND End_Position <= 112174672.0 AND SNP_event > 48.0 AND Protein_position > 1097.0 AND Variant_Type <= 1.5, then the class is Colorectal Carcinoma."
Extrahepatic Cholangiocarcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Diagnosis Age > 28.5 AND Start_Position > 63411508.0 AND missense_variant is 0 AND Codons > 1306.0 AND TMB (nonsynonymous) > 0.11666667088866234 AND End_Position <= 112174672.0 AND SNP_event > 48.0 AND Protein_position > 1097.0 AND Variant_Type > 1.5, then the class is Extrahepatic Cholangiocarcinoma."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Diagnosis Age > 28.5 AND SNP_event <= 2121.0 AND Start_Position > 63411508.0 AND missense_variant is 0 AND Protein_position <= 1135.5 AND Codons > 1306.0 AND TMB (nonsynonymous) > 0.11666667088866234 AND End_Position > 112174672.0, then the class is Liver Hepatocellular Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Diagnosis Age > 28.5 AND SNP_event <= 2121.0 AND Start_Position > 63411508.0 AND missense_variant is 0 AND Codons > 1306.0 AND TMB (nonsynonymous) > 0.11666667088866234 AND Protein_position > 1135.5, then the class is Colorectal Carcinoma."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 1.9833333492279053 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 1396.0 AND SNP_event <= 2121.0 AND Codons <= 3405.0 AND missense_variant is 0 AND Start_Position <= 112175484.0 AND Diagnosis Age <= 52.5, then the class is Liver Hepatocellular Carcinoma."
Non Small Cell Lung Cancer,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 1.9833333492279053 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 1396.0 AND SNP_event <= 2121.0 AND Codons <= 3405.0 AND missense_variant is 0 AND Start_Position <= 112175484.0 AND Diagnosis Age > 52.5, then the class is Non Small Cell Lung Cancer."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 1.9833333492279053 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 1396.0 AND Diagnosis Age > 56.5 AND SNP_event <= 2121.0 AND Codons <= 3405.0 AND missense_variant is 0 AND Start_Position <= 112175484.0, then the class is Colorectal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 0.15000000596046448 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 1396.0 AND SNP_event <= 637.5 AND Codons <= 3405.0 AND Start_Position > 112175484.0 AND missense_variant is 0 AND stop_gained is 0 AND Diagnosis Age <= 64.5, then the class is Colorectal Carcinoma."
Extrahepatic Cholangiocarcinoma,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 0.15000000596046448 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 1396.0 AND Diagnosis Age > 64.5 AND SNP_event <= 637.5 AND Codons <= 3405.0 AND Start_Position > 112175484.0 AND missense_variant is 0 AND stop_gained is 0, then the class is Extrahepatic Cholangiocarcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 1396.0 AND Diagnosis Age > 28.5 AND SNP_event <= 612.0 AND Codons <= 3405.0 AND Start_Position > 112175484.0 AND missense_variant is 0 AND stop_gained is 0 AND TMB (nonsynonymous) > 0.15000000596046448, then the class is Colorectal Carcinoma."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 1396.0 AND Diagnosis Age > 28.5 AND Codons <= 3405.0 AND Start_Position > 112175484.0 AND missense_variant is 0 AND stop_gained is 0 AND SNP_event > 612.0 AND TMB (nonsynonymous) <= 0.2500000074505806, then the class is Liver Hepatocellular Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 1396.0 AND Diagnosis Age > 28.5 AND Codons <= 3405.0 AND Start_Position > 112175484.0 AND missense_variant is 0 AND stop_gained is 0 AND TMB (nonsynonymous) > 0.2500000074505806 AND SNP_event > 612.0, then the class is Colorectal Carcinoma."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 1.9833333492279053 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 1396.0 AND Diagnosis Age > 28.5 AND SNP_event <= 637.5 AND Codons <= 3405.0 AND missense_variant is 0 AND stop_gained is 1 AND Start_Position <= 112175624.0, then the class is Liver Hepatocellular Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 1.9833333492279053 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 1396.0 AND Diagnosis Age > 28.5 AND SNP_event <= 637.5 AND Codons <= 3405.0 AND Start_Position > 112175624.0 AND missense_variant is 0 AND stop_gained is 1, then the class is Colorectal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 0.38333334028720856 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 1396.0 AND Codons <= 3405.0 AND Start_Position > 112175484.0 AND missense_variant is 0 AND SNP_event > 637.5 AND Diagnosis Age <= 67.0, then the class is Colorectal Carcinoma."
Gastric Cancer,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 0.38333334028720856 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 1396.0 AND Diagnosis Age > 67.0 AND Codons <= 3405.0 AND Start_Position > 112175484.0 AND missense_variant is 0 AND SNP_event > 637.5, then the class is Gastric Cancer."
Gastric Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 1396.0 AND Diagnosis Age > 28.5 AND Codons <= 3405.0 AND Start_Position > 112175484.0 AND missense_variant is 0 AND SNP_event > 637.5 AND TMB (nonsynonymous) > 0.38333334028720856, then the class is Gastric Cancer."
Gastric Cancer,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 0.21666666865348816 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 1396.0 AND Codons <= 608.5 AND Start_Position > 112175484.0 AND missense_variant is 0 AND SNP_event > 656.0 AND Diagnosis Age <= 53.0, then the class is Gastric Cancer."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 0.21666666865348816 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 1396.0 AND Start_Position > 112175484.0 AND missense_variant is 0 AND SNP_event > 656.0 AND Diagnosis Age <= 53.0 AND Codons > 608.5, then the class is Colorectal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 0.21666666865348816 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 1396.0 AND Diagnosis Age > 53.0 AND Codons <= 3405.0 AND Start_Position > 112175484.0 AND missense_variant is 0 AND SNP_event > 656.0, then the class is Colorectal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Diagnosis Age > 28.5 AND Codons <= 3405.0 AND Start_Position > 112175484.0 AND missense_variant is 0 AND SNP_event > 656.0 AND TMB (nonsynonymous) <= 0.2500000074505806 AND Protein_position <= 1456.0, then the class is Colorectal Carcinoma."
Extrahepatic Cholangiocarcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 1456.0 AND Diagnosis Age > 28.5 AND Codons <= 1172.5 AND Start_Position > 112175484.0 AND missense_variant is 0 AND SNP_event > 656.0 AND TMB (nonsynonymous) <= 0.2500000074505806, then the class is Extrahepatic Cholangiocarcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 1456.0 AND Diagnosis Age > 28.5 AND Start_Position > 112175484.0 AND missense_variant is 0 AND SNP_event > 656.0 AND TMB (nonsynonymous) <= 0.2500000074505806 AND Codons > 1172.5, then the class is Colorectal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 1396.0 AND Diagnosis Age > 28.5 AND Codons <= 3405.0 AND Start_Position > 112175484.0 AND missense_variant is 0 AND SNP_event > 656.0 AND TMB (nonsynonymous) > 0.2500000074505806, then the class is Colorectal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 1.9833333492279053 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 196.5 AND Diagnosis Age > 28.5 AND SNP_event <= 2121.0 AND Codons <= 3405.0 AND Start_Position > 63411508.0 AND missense_variant is 1 AND Exon_Number <= 661.5, then the class is Colorectal Carcinoma."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 1.9833333492279053 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 196.5 AND Diagnosis Age > 28.5 AND SNP_event <= 2121.0 AND Codons <= 3405.0 AND Start_Position > 63411508.0 AND missense_variant is 1 AND Exon_Number > 661.5, then the class is Liver Hepatocellular Carcinoma."
Gastric Cancer,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 1.066666692495346 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 196.5 AND Diagnosis Age > 28.5 AND SNP_event <= 2121.0 AND Codons <= 3457.5 AND End_Position <= 112173988.0, then the class is Gastric Cancer."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 196.5 AND Diagnosis Age > 28.5 AND SNP_event <= 2121.0 AND Codons <= 3457.5 AND End_Position <= 112173988.0 AND TMB (nonsynonymous) > 1.066666692495346, then the class is Colorectal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 1.9833333492279053 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 196.5 AND Diagnosis Age > 28.5 AND SNP_event <= 2121.0 AND Codons <= 3457.5 AND End_Position > 112173988.0, then the class is Colorectal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 1.9833333492279053 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 196.5 AND Diagnosis Age > 28.5 AND SNP_event <= 2121.0 AND Codons > 3457.5, then the class is Colorectal Carcinoma."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 1.9833333492279053 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 196.5 AND Diagnosis Age > 28.5 AND SNP_event > 2121.0, then the class is Liver Hepatocellular Carcinoma."
Extrahepatic Cholangiocarcinoma,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 0.23333334177732468 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 1514.5 AND Diagnosis Age <= 67.5 AND frameshift_variant is 0, then the class is Extrahepatic Cholangiocarcinoma."
Gallbladder Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 1514.5 AND Diagnosis Age <= 67.5 AND frameshift_variant is 0 AND TMB (nonsynonymous) > 0.23333334177732468 AND End_Position <= 112176596.0, then the class is Gallbladder Carcinoma."
Gallbladder Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 1514.5 AND Diagnosis Age <= 67.5 AND frameshift_variant is 0 AND TMB (nonsynonymous) > 0.23333334177732468 AND End_Position > 112176596.0 AND SNP_event <= 832.5, then the class is Gallbladder Carcinoma."
Gastric Cancer,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 1514.5 AND Diagnosis Age <= 67.5 AND frameshift_variant is 0 AND TMB (nonsynonymous) > 0.23333334177732468 AND End_Position > 112176596.0 AND SNP_event > 832.5, then the class is Gastric Cancer."
Gastric Cancer,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 1.9833333492279053 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Diagnosis Age <= 35.0 AND frameshift_variant is 1 AND Protein_position <= 1595.0, then the class is Gastric Cancer."
Pancreatic Cancer,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 0.23333334177732468 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND frameshift_variant is 1 AND Protein_position <= 1595.0 AND Diagnosis Age <= 42.5, then the class is Pancreatic Cancer."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND frameshift_variant is 1 AND Protein_position <= 1595.0 AND Diagnosis Age <= 42.5 AND TMB (nonsynonymous) <= 0.38333334028720856, then the class is Colorectal Carcinoma."
Extrahepatic Cholangiocarcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND frameshift_variant is 1 AND Protein_position <= 1595.0 AND Diagnosis Age <= 42.5 AND TMB (nonsynonymous) > 0.38333334028720856, then the class is Extrahepatic Cholangiocarcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 0.21666666865348816 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND frameshift_variant is 1 AND Protein_position <= 1595.0 AND Diagnosis Age > 42.5, then the class is Colorectal Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND frameshift_variant is 1 AND Protein_position <= 1595.0 AND TMB (nonsynonymous) > 0.21666666865348816 AND Diagnosis Age <= 45.0, then the class is Colorectal Carcinoma."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND frameshift_variant is 1 AND Protein_position <= 1595.0 AND TMB (nonsynonymous) > 0.21666666865348816 AND Diagnosis Age <= 52.0, then the class is Liver Hepatocellular Carcinoma."
Intrahepatic Cholangiocarcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND frameshift_variant is 1 AND Protein_position <= 1595.0 AND Diagnosis Age > 52.0 AND TMB (nonsynonymous) > 0.21666666865348816, then the class is Intrahepatic Cholangiocarcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND frameshift_variant is 1 AND Protein_position <= 1595.0 AND Diagnosis Age > 42.5 AND TMB (nonsynonymous) > 0.2500000074505806, then the class is Colorectal Carcinoma."
Extrahepatic Cholangiocarcinoma,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 1.9833333492279053 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND frameshift_variant is 1 AND Protein_position <= 1595.0 AND Diagnosis Age > 66.0, then the class is Extrahepatic Cholangiocarcinoma."
Liver Hepatocellular Carcinoma,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 1.9833333492279053 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 1595.0 AND Diagnosis Age <= 67.5 AND frameshift_variant is 1 AND Start_Position <= 112176676.0, then the class is Liver Hepatocellular Carcinoma."
Colorectal Carcinoma,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 1.9833333492279053 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 1595.0 AND Diagnosis Age <= 43.0 AND frameshift_variant is 1 AND Start_Position > 112176676.0, then the class is Colorectal Carcinoma."
Intrahepatic Cholangiocarcinoma,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 1.9833333492279053 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 1595.0 AND frameshift_variant is 1 AND Start_Position > 112176676.0 AND Diagnosis Age > 43.0, then the class is Intrahepatic Cholangiocarcinoma."
Gastric Cancer,"If Smoke Status > 1.5 AND TMB (nonsynonymous) <= 1.9833333492279053 AND Sex is 1 AND VAR_TYPE_SX is 1 AND Hugo_Symbol > 8.5 AND Protein_position > 1514.5 AND Diagnosis Age <= 70.5, then the class is Gastric Cancer."
